Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
23,72,119,+1:24:02,31.0,Berhane Natnael,21,Team Europcar,1:23:03 1:23:03,,\u25b210,7,2014
24,205,120,+1:26:16,27.0,Matzka Ralf,22,Team NetApp \u2013 Endura,1:25:17 1:25:17,,\u25b25,7,2014
24,208,123,+1:28:41,23.0,Thwaites Scott,23,Team NetApp \u2013 Endura,1:27:42 1:27:42,,-,7,2014
22,155,124,+1:28:44,24.0,D\xe9mare Arnaud,24,FDJ.fr,1:27:45 1:27:45,,-,7,2014
23,138,126,+1:32:44,26.0,Vorobyev Anton,25,Team Katusha,1:31:45 1:31:45,,\u25b21,7,2014
24,183,129,+1:34:00,28.0,Cimolai Davide,26,Lampre - Merida,1:33:01 1:33:01,,\u25b22,7,2014
24,136,135,+1:38:40,29.0,Tsatevich Alexey,27,Team Katusha,1:37:41 1:37:41,,\u25b22,7,2014
21,66,136,+1:39:32,30.0,Gougeard Alexis,28,AG2R La Mondiale,1:38:33 1:38:33,,\u25b22,7,2014
24,42,141,+2:11:09,32.0,Howard Leigh,29,Orica GreenEDGE,2:10:10 2:10:10,,\u25b23,7,2014
23,191,4,+0:43,1.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,31:08:51 31:08:51,31.0,-,8,2014
